Exercise ID,Exercise Name,Main Category,Body Region,Movement Pattern,Primary Muscle,Secondary Muscles,Equipment,Setup / Angle,Grip / Stance,Laterality,Difficulty,Load Type,Track By,Primary Use,Progression Family,App Tags,Notes
EX-0038,Cable Chest Press,Strength,Upper Push,Horizontal Push,Chest,Triceps; Front Delts,Cable,Standing,Dual handles,Bilateral,Beginner,Cable Load,Sets x Reps x Load,Hypertrophy,Cable Chest,chest;cable,
EX-0039,Incline Cable Chest Press,Strength,Upper Push,Horizontal Push,Chest,Triceps; Front Delts,Cable,Incline bench,Dual handles,Bilateral,Beginner,Cable Load,Sets x Reps x Load,Hypertrophy,Cable Chest,chest;cable,
EX-0040,Single-Arm Cable Chest Press,Strength,Upper Push,Horizontal Push,Chest,Triceps; Front Delts,Cable,Standing,Single handle,Unilateral-capable,Beginner,Cable Load,Sets x Reps x Load,Hypertrophy,Cable Chest,chest;cable,
EX-0041,Cable Fly,Strength,Upper Push,Chest Isolation,Chest,Triceps; Front Delts,Cable,Mid pulley,Dual handles,Bilateral,Beginner,Cable Load,Sets x Reps x Load,Hypertrophy,Cable Chest,chest;cable,
EX-0042,High-to-Low Cable Fly,Strength,Upper Push,Chest Isolation,Chest,Triceps; Front Delts,Cable,High pulley,Dual handles,Bilateral,Beginner,Cable Load,Sets x Reps x Load,Hypertrophy,Cable Chest,chest;cable,
EX-0043,Low-to-High Cable Fly,Strength,Upper Push,Chest Isolation,Chest,Triceps; Front Delts,Cable,Low pulley,Dual handles,Bilateral,Beginner,Cable Load,Sets x Reps x Load,Hypertrophy,Cable Chest,chest;cable,
EX-0044,Incline Cable Fly,Strength,Upper Push,Chest Isolation,Chest,Triceps; Front Delts,Cable,Incline bench,Dual handles,Bilateral,Beginner,Cable Load,Sets x Reps x Load,Hypertrophy,Cable Chest,chest;cable,
EX-0045,Single-Arm Cable Fly,Strength,Upper Push,Chest Isolation,Chest,Triceps; Front Delts,Cable,Standing,Single handle,Unilateral-capable,Beginner,Cable Load,Sets x Reps x Load,Hypertrophy,Cable Chest,chest;cable,
EX-0046,Cable Squeeze Press,Strength,Upper Push,Horizontal Push,Chest,Triceps; Front Delts,Cable,Standing,Dual handles,Bilateral,Beginner,Cable Load,Sets x Reps x Load,Hypertrophy,Cable Chest,chest;cable,
EX-0047,Cable Pullover,Strength,Upper Push,Pullover,Lats / Chest,Triceps; Front Delts,Cable,High pulley,Straight bar/rope,Bilateral,Beginner,Cable Load,Sets x Reps x Load,Hypertrophy,Cable Chest,chest;cable,
EX-0048,Push-Up,Calisthenics,Upper Push,Horizontal Push,Chest,Triceps; Front Delts; Serratus,Bodyweight,Floor,Standard,Bilateral,Beginner,Bodyweight,Sets x Reps,Strength / Hypertrophy / Skill,Push-Up / Dip,chest;bodyweight;push,
EX-0049,Knee Push-Up,Calisthenics,Upper Push,Horizontal Push,Chest,Triceps; Front Delts; Serratus,Bodyweight,Floor,Knees,Bilateral,Beginner,Bodyweight,Sets x Reps,Strength / Hypertrophy / Skill,Push-Up / Dip,chest;bodyweight;push,
EX-0050,Incline Push-Up,Calisthenics,Upper Push,Horizontal Push,Chest,Triceps; Front Delts; Serratus,Bodyweight,Hands elevated,Standard,Bilateral,Beginner,Bodyweight,Sets x Reps,Strength / Hypertrophy / Skill,Push-Up / Dip,chest;bodyweight;push,
EX-0051,Decline Push-Up,Calisthenics,Upper Push,Horizontal Push,Chest,Triceps; Front Delts; Serratus,Bodyweight,Feet elevated,Standard,Bilateral,Intermediate,Bodyweight,Sets x Reps,Strength / Hypertrophy / Skill,Push-Up / Dip,chest;bodyweight;push,
EX-0052,Wide Push-Up,Calisthenics,Upper Push,Horizontal Push,Chest,Triceps; Front Delts; Serratus,Bodyweight,Floor,Wide,Bilateral,Beginner,Bodyweight,Sets x Reps,Strength / Hypertrophy / Skill,Push-Up / Dip,chest;bodyweight;push,
EX-0053,Close-Grip Push-Up,Calisthenics,Upper Push,Horizontal Push,Chest,Triceps; Front Delts; Serratus,Bodyweight,Floor,Close,Bilateral,Intermediate,Bodyweight,Sets x Reps,Strength / Hypertrophy / Skill,Push-Up / Dip,chest;bodyweight;push,
EX-0054,Diamond Push-Up,Calisthenics,Upper Push,Horizontal Push,Chest,Triceps; Front Delts; Serratus,Bodyweight,Floor,Diamond,Bilateral,Intermediate,Bodyweight,Sets x Reps,Strength / Hypertrophy / Skill,Push-Up / Dip,chest;bodyweight;push,
EX-0055,Deficit Push-Up,Calisthenics,Upper Push,Horizontal Push,Chest,Triceps; Front Delts; Serratus,Parallettes / Handles,Floor,Deep ROM,Bilateral,Intermediate,Bodyweight,Sets x Reps,Strength / Hypertrophy / Skill,Push-Up / Dip,chest;bodyweight;push,
EX-0056,Ring Push-Up,Calisthenics,Upper Push,Horizontal Push,Chest,Triceps; Front Delts; Serratus,Gymnastic rings,Suspended,Neutral,Bilateral,Intermediate,Bodyweight,Sets x Reps,Strength / Hypertrophy / Skill,Push-Up / Dip,chest;bodyweight;push,
EX-0057,TRX Push-Up,Calisthenics,Upper Push,Horizontal Push,Chest,Triceps; Front Delts; Serratus,Suspension trainer,Suspended,Neutral,Bilateral,Intermediate,Bodyweight,Sets x Reps,Strength / Hypertrophy / Skill,Push-Up / Dip,chest;bodyweight;push,
EX-0058,Archer Push-Up,Calisthenics,Upper Push,Horizontal Push,Chest,Triceps; Front Delts; Serratus,Bodyweight,Floor,Archer,Bilateral,Advanced,Bodyweight,Sets x Reps,Strength / Hypertrophy / Skill,Push-Up / Dip,chest;bodyweight;push,
EX-0059,Pseudo Planche Push-Up,Calisthenics,Upper Push,Horizontal Push,Chest,Triceps; Front Delts; Serratus,Bodyweight,Floor,Forward lean,Bilateral,Advanced,Bodyweight,Sets x Reps,Strength / Hypertrophy / Skill,Push-Up / Dip,chest;bodyweight;push,
EX-0060,Plyometric Push-Up,Calisthenics,Upper Push,Horizontal Push,Chest,Triceps; Front Delts; Serratus,Bodyweight,Floor,Explosive,Bilateral,Advanced,Bodyweight,Sets x Reps,Strength / Hypertrophy / Skill,Push-Up / Dip,chest;bodyweight;push,
EX-0061,Clap Push-Up,Calisthenics,Upper Push,Horizontal Push,Chest,Triceps; Front Delts; Serratus,Bodyweight,Floor,Explosive,Bilateral,Advanced,Bodyweight,Sets x Reps,Strength / Hypertrophy / Skill,Push-Up / Dip,chest;bodyweight;push,
EX-0062,One-Arm Push-Up,Calisthenics,Upper Push,Horizontal Push,Chest,Triceps; Front Delts; Serratus,Bodyweight,Floor,Single-arm,Unilateral,Advanced,Bodyweight,Sets x Reps,Strength / Hypertrophy / Skill,Push-Up / Dip,chest;bodyweight;push,
EX-0063,Scapular Push-Up,Calisthenics,Upper Push,Horizontal Push,Chest,Triceps; Front Delts; Serratus,Bodyweight,Floor,Scapular,Bilateral,Beginner,Bodyweight,Sets x Reps,Strength / Hypertrophy / Skill,Push-Up / Dip,chest;bodyweight;push,
EX-0064,Chest Dip,Calisthenics,Upper Push,Horizontal Push,Chest,Triceps; Front Delts; Serratus,Dip bars,Leaning,Neutral,Bilateral,Intermediate,Bodyweight,Sets x Reps,Strength / Hypertrophy / Skill,Push-Up / Dip,chest;bodyweight;push,
EX-0065,Assisted Chest Dip,Calisthenics,Upper Push,Horizontal Push,Chest,Triceps; Front Delts; Serratus,Assisted dip machine / Bands,Leaning,Neutral,Bilateral,Beginner,Bodyweight,Sets x Reps,Strength / Hypertrophy / Skill,Push-Up / Dip,chest;bodyweight;push,
EX-0066,Ring Dip,Calisthenics,Upper Push,Horizontal Push,Chest,Triceps; Front Delts; Serratus,Gymnastic rings,Suspended,Neutral,Bilateral,Advanced,Bodyweight,Sets x Reps,Strength / Hypertrophy / Skill,Push-Up / Dip,chest;bodyweight;push,
EX-0067,Band-Resisted Push-Up,Calisthenics,Upper Push,Horizontal Push,Chest,Triceps; Front Delts; Serratus,Resistance band,Floor,Standard,Bilateral,Intermediate,Bodyweight + Band,Sets x Reps,Strength / Hypertrophy / Skill,Push-Up / Dip,chest;bodyweight;push,
EX-0068,Standing Barbell Overhead Press,Strength,Upper Push,Vertical Push,Shoulders,Triceps; Upper Chest; Traps,Barbell,Standing,Standard,Bilateral,Intermediate,External Load,Sets x Reps x Load,Strength / Hypertrophy,Overhead Press,shoulders;barbell,
EX-0069,Seated Barbell Overhead Press,Strength,Upper Push,Vertical Push,Shoulders,Triceps; Upper Chest; Traps,Barbell,Seated,Standard,Bilateral,Intermediate,External Load,Sets x Reps x Load,Strength / Hypertrophy,Overhead Press,shoulders;barbell,
EX-0070,Push Press,Strength,Upper Push,Vertical Push,Shoulders,Triceps; Upper Chest; Traps,Barbell,Standing,Leg drive,Bilateral,Advanced,External Load,Sets x Reps x Load,Strength / Hypertrophy,Overhead Press,shoulders;barbell,
EX-0071,Behind-the-Neck Press,Strength,Upper Push,Vertical Push,Shoulders,Triceps; Upper Chest; Traps,Barbell,Standing/Seated,Wide,Bilateral,Advanced,External Load,Sets x Reps x Load,Strength / Hypertrophy,Overhead Press,shoulders;barbell,
EX-0072,Bradford Press,Strength,Upper Push,Vertical Push,Shoulders,Triceps; Upper Chest; Traps,Barbell,Standing/Seated,Wide,Bilateral,Advanced,External Load,Sets x Reps x Load,Strength / Hypertrophy,Overhead Press,shoulders;barbell,
EX-0073,Z Press,Strength,Upper Push,Vertical Push,Shoulders,Triceps; Upper Chest; Traps,Barbell,Seated on floor,Standard,Bilateral,Advanced,External Load,Sets x Reps x Load,Strength / Hypertrophy,Overhead Press,shoulders;barbell,
EX-0074,Barbell Front Raise,Strength,Upper Push,Shoulder Isolation,Shoulders,Traps; Front Delts,Barbell,Standing,Pronated,Bilateral,Intermediate,External Load,Sets x Reps x Load,Strength / Hypertrophy,Overhead Press,shoulders;barbell,
EX-0075,Barbell Upright Row,Strength,Upper Push,High Pull / Upright Row,Shoulders,Traps; Front Delts,Barbell,Standing,Narrow/medium,Bilateral,Intermediate,External Load,Sets x Reps x Load,Strength / Hypertrophy,Overhead Press,shoulders;barbell,
EX-0076,Dumbbell Shoulder Press,Strength,Upper Push,Vertical Push,Shoulders,Triceps; Upper Chest,Dumbbells,Seated/standing,Standard,Bilateral,Beginner,External Load,Sets x Reps x Load,Hypertrophy / Prehab,Dumbbell Shoulder,shoulders;dumbbell,
EX-0077,Seated Dumbbell Shoulder Press,Strength,Upper Push,Vertical Push,Shoulders,Triceps; Upper Chest,Dumbbells,Seated,Standard,Bilateral,Beginner,External Load,Sets x Reps x Load,Hypertrophy / Prehab,Dumbbell Shoulder,shoulders;dumbbell,
EX-0078,Standing Dumbbell Shoulder Press,Strength,Upper Push,Vertical Push,Shoulders,Triceps; Upper Chest,Dumbbells,Standing,Standard,Bilateral,Intermediate,External Load,Sets x Reps x Load,Hypertrophy / Prehab,Dumbbell Shoulder,shoulders;dumbbell,
EX-0079,Single-Arm Dumbbell Shoulder Press,Strength,Upper Push,Vertical Push,Shoulders,Triceps; Upper Chest,Dumbbell,Standing/seated,Single-arm,Unilateral-capable,Intermediate,External Load,Sets x Reps x Load,Hypertrophy / Prehab,Dumbbell Shoulder,shoulders;dumbbell,
EX-0080,Alternating Dumbbell Shoulder Press,Strength,Upper Push,Vertical Push,Shoulders,Triceps; Upper Chest,Dumbbells,Seated/standing,Alternating,Unilateral-capable,Intermediate,External Load,Sets x Reps x Load,Hypertrophy / Prehab,Dumbbell Shoulder,shoulders;dumbbell,
EX-0081,Arnold Press,Strength,Upper Push,Vertical Push,Shoulders,Triceps; Upper Chest,Dumbbells,Seated/standing,Rotating,Bilateral,Intermediate,External Load,Sets x Reps x Load,Hypertrophy / Prehab,Dumbbell Shoulder,shoulders;dumbbell,
EX-0082,Dumbbell Lateral Raise,Strength,Upper Push,Shoulder Isolation,Shoulders,Traps; Rotator Cuff,Dumbbells,Standing,Neutral,Bilateral,Beginner,External Load,Sets x Reps x Load,Hypertrophy / Prehab,Dumbbell Shoulder,shoulders;dumbbell,
EX-0083,Seated Dumbbell Lateral Raise,Strength,Upper Push,Shoulder Isolation,Shoulders,Traps; Rotator Cuff,Dumbbells,Seated,Neutral,Bilateral,Beginner,External Load,Sets x Reps x Load,Hypertrophy / Prehab,Dumbbell Shoulder,shoulders;dumbbell,
EX-0084,Lean-Away Dumbbell Lateral Raise,Strength,Upper Push,Shoulder Isolation,Shoulders,Traps; Rotator Cuff,Dumbbell,Leaning,Single-arm,Unilateral-capable,Intermediate,External Load,Sets x Reps x Load,Hypertrophy / Prehab,Dumbbell Shoulder,shoulders;dumbbell,
EX-0085,Dumbbell Front Raise,Strength,Upper Push,Shoulder Isolation,Shoulders,Traps; Rotator Cuff,Dumbbells,Standing,Neutral/pronated,Bilateral,Beginner,External Load,Sets x Reps x Load,Hypertrophy / Prehab,Dumbbell Shoulder,shoulders;dumbbell,
EX-0086,Alternating Dumbbell Front Raise,Strength,Upper Push,Shoulder Isolation,Shoulders,Traps; Rotator Cuff,Dumbbells,Standing,Alternating,Unilateral-capable,Beginner,External Load,Sets x Reps x Load,Hypertrophy / Prehab,Dumbbell Shoulder,shoulders;dumbbell,
EX-0087,Dumbbell Rear Delt Fly,Strength,Upper Push,Shoulder Isolation,Shoulders,Traps; Rotator Cuff,Dumbbells,Hinged,Neutral,Bilateral,Beginner,External Load,Sets x Reps x Load,Hypertrophy / Prehab,Dumbbell Shoulder,shoulders;dumbbell,
EX-0088,Incline Dumbbell Rear Delt Fly,Strength,Upper Push,Shoulder Isolation,Shoulders,Traps; Rotator Cuff,Dumbbells,Chest-supported incline,Neutral,Bilateral,Beginner,External Load,Sets x Reps x Load,Hypertrophy / Prehab,Dumbbell Shoulder,shoulders;dumbbell,
EX-0089,Dumbbell Cuban Press,Strength,Upper Push,Vertical Push,Shoulders,Triceps; Upper Chest,Dumbbells,Standing,External rotation,Bilateral,Intermediate,External Load,Sets x Reps x Load,Hypertrophy / Prehab,Dumbbell Shoulder,shoulders;dumbbell,
EX-0090,Dumbbell Y Raise,Strength,Upper Push,Shoulder Isolation,Shoulders,Traps; Rotator Cuff,Dumbbells,Incline/prone,Y angle,Bilateral,Beginner,External Load,Sets x Reps x Load,Hypertrophy / Prehab,Dumbbell Shoulder,shoulders;dumbbell,
EX-0091,Dumbbell Scaption Raise,Strength,Upper Push,Shoulder Isolation,Shoulders,Traps; Rotator Cuff,Dumbbells,Standing,Thumbs up,Bilateral,Beginner,External Load,Sets x Reps x Load,Hypertrophy / Prehab,Dumbbell Shoulder,shoulders;dumbbell,
EX-0092,Dumbbell Shrug,Strength,Upper Push,Shrug / Elevation,Shoulders,Neck; Forearms,Dumbbells,Standing,Neutral,Bilateral,Beginner,External Load,Sets x Reps x Load,Hypertrophy / Prehab,Dumbbell Shoulder,shoulders;dumbbell,
EX-0093,Cable Lateral Raise,Strength,Upper Push/Pull,Shoulder Isolation,Shoulders,Traps; Rear Delts; Scapular Stabilizers,Cable,Low pulley,Single handle,Unilateral-capable,Beginner,Cable Load,Sets x Reps x Load,Hypertrophy / Prehab,Cable Shoulder,shoulders;cable;prehab,
EX-0094,Behind-the-Back Cable Lateral Raise,Strength,Upper Push/Pull,Shoulder Isolation,Shoulders,Traps; Rear Delts; Scapular Stabilizers,Cable,Low pulley behind body,Single handle,Unilateral-capable,Intermediate,Cable Load,Sets x Reps x Load,Hypertrophy / Prehab,Cable Shoulder,shoulders;cable;prehab,
EX-0095,Cable Front Raise,Strength,Upper Push/Pull,Shoulder Isolation,Shoulders,Traps; Rear Delts; Scapular Stabilizers,Cable,Low pulley,Straight bar/rope,Unilateral-capable,Beginner,Cable Load,Sets x Reps x Load,Hypertrophy / Prehab,Cable Shoulder,shoulders;cable;prehab,
EX-0096,Cable Rear Delt Fly,Strength,Upper Push/Pull,Rear Delt / Scapular Pull,Shoulders,Traps; Rear Delts; Scapular Stabilizers,Cable,High/mid pulley,Dual handles,Unilateral-capable,Beginner,Cable Load,Sets x Reps x Load,Hypertrophy / Prehab,Cable Shoulder,shoulders;cable;prehab,
EX-0097,Single-Arm Cable Rear Delt Fly,Strength,Upper Push/Pull,Rear Delt / Scapular Pull,Shoulders,Traps; Rear Delts; Scapular Stabilizers,Cable,High/mid pulley,Single handle,Unilateral-capable,Beginner,Cable Load,Sets x Reps x Load,Hypertrophy / Prehab,Cable Shoulder,shoulders;cable;prehab,
EX-0098,Cable Face Pull,Strength,Upper Push/Pull,Rear Delt / Scapular Pull,Shoulders,Traps; Rear Delts; Scapular Stabilizers,Cable,High pulley,Rope,Unilateral-capable,Beginner,Cable Load,Sets x Reps x Load,Hypertrophy / Prehab,Cable Shoulder,shoulders;cable;prehab,
EX-0099,Cable Upright Row,Strength,Upper Push/Pull,Shoulder Isolation,Shoulders,Traps; Rear Delts; Scapular Stabilizers,Cable,Low pulley,Straight bar/rope,Unilateral-capable,Intermediate,Cable Load,Sets x Reps x Load,Hypertrophy / Prehab,Cable Shoulder,shoulders;cable;prehab,
EX-0100,Cable External Rotation,Strength,Upper Push/Pull,Rotator Cuff,Rotator Cuff,Traps; Rear Delts; Scapular Stabilizers,Cable,Elbow tucked,Single handle,Unilateral-capable,Beginner,Cable Load,Sets x Reps x Load,Hypertrophy / Prehab,Cable Shoulder,shoulders;cable;prehab,
EX-0101,Cable Internal Rotation,Strength,Upper Push/Pull,Rotator Cuff,Rotator Cuff,Traps; Rear Delts; Scapular Stabilizers,Cable,Elbow tucked,Single handle,Unilateral-capable,Beginner,Cable Load,Sets x Reps x Load,Hypertrophy / Prehab,Cable Shoulder,shoulders;cable;prehab,
EX-0102,Cable Y Raise,Strength,Upper Push/Pull,Shoulder Isolation,Shoulders,Traps; Rear Delts; Scapular Stabilizers,Cable,Low pulley,Dual handles,Unilateral-capable,Intermediate,Cable Load,Sets x Reps x Load,Hypertrophy / Prehab,Cable Shoulder,shoulders;cable;prehab,
EX-0103,Machine Shoulder Press,Strength,Upper Push/Pull,Vertical Push,Shoulders,Triceps; Traps,Machine,Seated,Neutral/standard,Bilateral,Beginner,Machine / External Load,Sets x Reps x Load,Hypertrophy / Strength,Machine Shoulder,shoulders;machine,
EX-0104,Plate-Loaded Shoulder Press,Strength,Upper Push/Pull,Vertical Push,Shoulders,Triceps; Traps,Plate-loaded machine,Seated,Neutral/standard,Bilateral,Beginner,Machine / External Load,Sets x Reps x Load,Hypertrophy / Strength,Machine Shoulder,shoulders;machine,
