food_id,factor_key,raw_value,numeric_value,value_qualifier
14-320,edible_proportion,1.00,1.0,measured_or_calculated
14-320,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
14-016,edible_proportion,1.00,1.0,measured_or_calculated
14-319,edible_proportion,1,1.0,measured_or_calculated
14-319,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
14-346,edible_proportion,0.87,0.87,measured_or_calculated
14-346,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
14-346,glycerol_conversion_factor,0.800,0.8,measured_or_calculated
14-031,edible_proportion,1.00,1.0,measured_or_calculated
14-032,edible_proportion,1.00,1.0,measured_or_calculated
14-033,edible_proportion,1.00,1.0,measured_or_calculated
14-025,edible_proportion,1.00,1.0,measured_or_calculated
14-025,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
14-026,edible_proportion,0.92,0.92,measured_or_calculated
14-392,edible_proportion,1,1.0,measured_or_calculated
14-392,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
14-392,glycerol_conversion_factor,0.8,0.8,measured_or_calculated
14-027,edible_proportion,1.00,1.0,measured_or_calculated
14-028,edible_proportion,0.93,0.93,measured_or_calculated
14-029,edible_proportion,1.00,1.0,measured_or_calculated
14-030,edible_proportion,0.93,0.93,measured_or_calculated
13-152,edible_proportion,1.00,1.0,measured_or_calculated
13-151,edible_proportion,0.81,0.81,measured_or_calculated
11-001,edible_proportion,1.00,1.0,measured_or_calculated
11-001,nitrogen_conversion_factor,5.70,5.7,measured_or_calculated
13-155,edible_proportion,1.00,1.0,measured_or_calculated
13-154,edible_proportion,0.43,0.43,measured_or_calculated
13-153,edible_proportion,0.43,0.43,measured_or_calculated
13-156,edible_proportion,1.00,1.0,measured_or_calculated
13-803,edible_proportion,1.00,1.0,measured_or_calculated
13-639,edible_proportion,1,1.0,measured_or_calculated
13-639,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
13-639,glycerol_conversion_factor,0.8,0.8,measured_or_calculated
13-157,edible_proportion,0.75,0.75,measured_or_calculated
13-157,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
13-640,edible_proportion,1,1.0,measured_or_calculated
13-640,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
13-640,glycerol_conversion_factor,0.956,0.956,measured_or_calculated
13-638,edible_proportion,1,1.0,measured_or_calculated
13-638,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
13-638,glycerol_conversion_factor,0.8,0.8,measured_or_calculated
13-651,edible_proportion,1,1.0,measured_or_calculated
13-651,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
13-651,glycerol_conversion_factor,0.8,0.8,measured_or_calculated
13-669,edible_proportion,1,1.0,measured_or_calculated
13-669,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
13-669,glycerol_conversion_factor,0.956,0.956,measured_or_calculated
13-412,edible_proportion,1.00,1.0,measured_or_calculated
13-162,edible_proportion,1.00,1.0,measured_or_calculated
13-162,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
13-577,edible_proportion,1.00,1.0,measured_or_calculated
13-577,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
13-577,glycerol_conversion_factor,0.956,0.956,measured_or_calculated
13-161,edible_proportion,0.96,0.96,measured_or_calculated
13-161,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
15-001,edible_proportion,1.00,1.0,measured_or_calculated
15-662,edible_proportion,1.00,1.0,measured_or_calculated
15-663,edible_proportion,1.00,1.0,measured_or_calculated
14-039,edible_proportion,1.00,1.0,measured_or_calculated
14-040,edible_proportion,0.71,0.71,measured_or_calculated
14-386,edible_proportion,1,1.0,measured_or_calculated
14-386,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
14-386,glycerol_conversion_factor,0.956,0.956,measured_or_calculated
14-387,edible_proportion,0.69,0.69,measured_or_calculated
14-387,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
14-387,glycerol_conversion_factor,0.956,0.956,measured_or_calculated
16-001,edible_proportion,N,,present_amount_unknown
14-043,edible_proportion,0.98,0.98,measured_or_calculated
16-169,edible_proportion,N,,present_amount_unknown
19-644,edible_proportion,1.00,1.0,measured_or_calculated
19-644,glycerol_conversion_factor,0.910,0.91,measured_or_calculated
19-645,edible_proportion,1.00,1.0,measured_or_calculated
19-498,edible_proportion,1.00,1.0,measured_or_calculated
19-498,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
19-499,edible_proportion,1.00,1.0,measured_or_calculated
19-499,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
19-646,edible_proportion,1.00,1.0,measured_or_calculated
19-500,edible_proportion,1.00,1.0,measured_or_calculated
19-500,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
19-500,glycerol_conversion_factor,0.910,0.91,measured_or_calculated
19-501,edible_proportion,1.00,1.0,measured_or_calculated
19-501,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
19-502,edible_proportion,1.00,1.0,measured_or_calculated
19-502,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
19-497,edible_proportion,0.97,0.97,measured_or_calculated
19-497,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
19-497,glycerol_conversion_factor,0.930,0.93,measured_or_calculated
19-009,edible_proportion,1.00,1.0,measured_or_calculated
19-659,edible_proportion,1.00,1.0,measured_or_calculated
19-647,edible_proportion,1.00,1.0,measured_or_calculated
19-660,edible_proportion,1.00,1.0,measured_or_calculated
19-648,edible_proportion,1.00,1.0,measured_or_calculated
19-648,glycerol_conversion_factor,0.960,0.96,measured_or_calculated
19-503,edible_proportion,1.00,1.0,measured_or_calculated
19-503,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
19-503,glycerol_conversion_factor,0.910,0.91,measured_or_calculated
19-649,edible_proportion,0.92,0.92,measured_or_calculated
19-649,glycerol_conversion_factor,0.910,0.91,measured_or_calculated
19-504,edible_proportion,1.00,1.0,measured_or_calculated
19-504,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
19-018,edible_proportion,1,1.0,measured_or_calculated
19-018,glycerol_conversion_factor,0.910,0.91,measured_or_calculated
19-016,edible_proportion,0.91,0.91,measured_or_calculated
19-016,glycerol_conversion_factor,0.910,0.91,measured_or_calculated
19-537,edible_proportion,1.00,1.0,measured_or_calculated
19-650,edible_proportion,1.00,1.0,measured_or_calculated
19-650,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
11-970,edible_proportion,1.00,1.0,measured_or_calculated
11-970,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
11-970,glycerol_conversion_factor,0.956,0.956,measured_or_calculated
13-578,edible_proportion,1.00,1.0,measured_or_calculated
13-578,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
13-578,glycerol_conversion_factor,0.800,0.8,measured_or_calculated
13-532,edible_proportion,1.00,1.0,measured_or_calculated
13-532,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
13-532,glycerol_conversion_factor,0.800,0.8,measured_or_calculated
13-535,edible_proportion,1.00,1.0,measured_or_calculated
13-535,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
13-579,edible_proportion,1.00,1.0,measured_or_calculated
13-579,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
12-500,edible_proportion,1.00,1.0,measured_or_calculated
12-500,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
12-500,glycerol_conversion_factor,0.956,0.956,measured_or_calculated
17-355,edible_proportion,1.00,1.0,measured_or_calculated
11-1029,edible_proportion,1.00,1.0,measured_or_calculated
12-556,edible_proportion,1.00,1.0,measured_or_calculated
14-318,edible_proportion,1,1.0,measured_or_calculated
14-318,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
14-347,edible_proportion,0.63,0.63,measured_or_calculated
14-347,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
14-347,glycerol_conversion_factor,0.800,0.8,measured_or_calculated
11-1030,edible_proportion,1.00,1.0,measured_or_calculated
11-951,edible_proportion,1.00,1.0,measured_or_calculated
17-705,edible_proportion,1.00,1.0,measured_or_calculated
17-769,edible_proportion,1.00,1.0,measured_or_calculated
14-804,edible_proportion,1.00,1.0,measured_or_calculated
14-805,edible_proportion,0.62,0.62,measured_or_calculated
17-844,edible_proportion,1.00,1.0,measured_or_calculated
17-844,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
17-743,edible_proportion,1.00,1.0,measured_or_calculated
17-743,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
11-003,edible_proportion,1.00,1.0,measured_or_calculated
11-003,nitrogen_conversion_factor,5.83,5.83,measured_or_calculated
11-002,edible_proportion,1.00,1.0,measured_or_calculated
11-002,nitrogen_conversion_factor,5.83,5.83,measured_or_calculated
13-805,edible_proportion,1.00,1.0,measured_or_calculated
13-804,edible_proportion,1.00,1.0,measured_or_calculated
13-804,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
16-386,edible_proportion,0.88,0.88,measured_or_calculated
16-386,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
16-386,glycerol_conversion_factor,0.900,0.9,measured_or_calculated
16-463,edible_proportion,0.89,0.89,measured_or_calculated
16-463,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
16-463,glycerol_conversion_factor,0.900,0.9,measured_or_calculated
16-385,edible_proportion,0.63,0.63,measured_or_calculated
16-385,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
16-385,glycerol_conversion_factor,0.900,0.9,measured_or_calculated
16-464,edible_proportion,0.86,0.86,measured_or_calculated
16-464,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
16-464,glycerol_conversion_factor,0.900,0.9,measured_or_calculated
13-806,edible_proportion,1.00,1.0,measured_or_calculated
15-664,edible_proportion,1.00,1.0,measured_or_calculated
15-665,edible_proportion,1.00,1.0,measured_or_calculated
15-666,edible_proportion,1.00,1.0,measured_or_calculated
15-667,edible_proportion,1.00,1.0,measured_or_calculated
15-668,edible_proportion,1.00,1.0,measured_or_calculated
13-042,edible_proportion,1.00,1.0,measured_or_calculated
13-041,edible_proportion,1.00,1.0,measured_or_calculated
13-049,edible_proportion,0.88,0.88,measured_or_calculated
13-063,edible_proportion,1.00,1.0,measured_or_calculated
13-062,edible_proportion,1.00,1.0,measured_or_calculated
13-067,edible_proportion,1.00,1.0,measured_or_calculated
13-648,edible_proportion,1,1.0,measured_or_calculated
13-648,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
13-648,glycerol_conversion_factor,0.8,0.8,measured_or_calculated
13-064,edible_proportion,0.23,0.23,measured_or_calculated
13-559,edible_proportion,0.57,0.57,measured_or_calculated
13-559,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
13-559,glycerol_conversion_factor,0.800,0.8,measured_or_calculated
13-663,edible_proportion,1,1.0,measured_or_calculated
13-663,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
13-663,glycerol_conversion_factor,0.8,0.8,measured_or_calculated
13-070,edible_proportion,1.00,1.0,measured_or_calculated
13-666,edible_proportion,0.66,0.66,measured_or_calculated
13-666,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
13-666,glycerol_conversion_factor,0.8,0.8,measured_or_calculated
13-670,edible_proportion,0.62,0.62,measured_or_calculated
13-670,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
13-670,glycerol_conversion_factor,0.8,0.8,measured_or_calculated
13-077,edible_proportion,1.00,1.0,measured_or_calculated
13-076,edible_proportion,1.00,1.0,measured_or_calculated
13-662,edible_proportion,1,1.0,measured_or_calculated
13-662,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
13-662,glycerol_conversion_factor,0.8,0.8,measured_or_calculated
13-074,edible_proportion,1.00,1.0,measured_or_calculated
13-080,edible_proportion,0.86,0.86,measured_or_calculated
13-667,edible_proportion,0.51,0.51,measured_or_calculated
13-667,nitrogen_conversion_factor,5.71,5.71,measured_or_calculated
13-667,glycerol_conversion_factor,0.8,0.8,measured_or_calculated
13-515,edible_proportion,1.00,1.0,measured_or_calculated
13-515,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
13-514,edible_proportion,0.91,0.91,measured_or_calculated
13-514,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
13-665,edible_proportion,0.74,0.74,measured_or_calculated
13-665,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
13-665,glycerol_conversion_factor,0.8,0.8,measured_or_calculated
13-087,edible_proportion,1.00,1.0,measured_or_calculated
13-086,edible_proportion,1.00,1.0,measured_or_calculated
13-099,edible_proportion,1.00,1.0,measured_or_calculated
13-098,edible_proportion,1.00,1.0,measured_or_calculated
13-664,edible_proportion,1,1.0,measured_or_calculated
13-664,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
13-664,glycerol_conversion_factor,0.8,0.8,measured_or_calculated
13-096,edible_proportion,1.00,1.0,measured_or_calculated
13-100,edible_proportion,0.88,0.88,measured_or_calculated
13-105,edible_proportion,1.00,1.0,measured_or_calculated
13-104,edible_proportion,1.00,1.0,measured_or_calculated
13-103,edible_proportion,1.00,1.0,measured_or_calculated
13-102,edible_proportion,1.00,1.0,measured_or_calculated
13-107,edible_proportion,1.00,1.0,measured_or_calculated
13-106,edible_proportion,1.00,1.0,measured_or_calculated
13-108,edible_proportion,1.00,1.0,measured_or_calculated
13-660,edible_proportion,0.66,0.66,measured_or_calculated
13-660,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
13-660,glycerol_conversion_factor,0.8,0.8,measured_or_calculated
13-659,edible_proportion,1,1.0,measured_or_calculated
13-659,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
13-659,glycerol_conversion_factor,0.8,0.8,measured_or_calculated
13-109,edible_proportion,1.00,1.0,measured_or_calculated
13-109,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
13-654,edible_proportion,1,1.0,measured_or_calculated
13-654,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
13-654,glycerol_conversion_factor,0.8,0.8,measured_or_calculated
13-112,edible_proportion,0.86,0.86,measured_or_calculated
13-112,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
13-116,edible_proportion,1.00,1.0,measured_or_calculated
13-116,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
13-115,edible_proportion,1.00,1.0,measured_or_calculated
13-115,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
13-117,edible_proportion,0.98,0.98,measured_or_calculated
13-580,edible_proportion,1.00,1.0,measured_or_calculated
13-580,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
13-580,glycerol_conversion_factor,0.800,0.8,measured_or_calculated
13-426,edible_proportion,1.00,1.0,measured_or_calculated
13-426,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
13-426,glycerol_conversion_factor,0.800,0.8,measured_or_calculated
13-567,edible_proportion,1.00,1.0,measured_or_calculated
13-567,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
13-567,glycerol_conversion_factor,0.956,0.956,measured_or_calculated
19-471,edible_proportion,1.00,1.0,measured_or_calculated
19-548,edible_proportion,1.00,1.0,measured_or_calculated
17-514,edible_proportion,1.00,1.0,measured_or_calculated
17-514,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
17-514,glycerol_conversion_factor,0.956,0.956,measured_or_calculated
19-588,edible_proportion,1.00,1.0,measured_or_calculated
19-589,edible_proportion,1.00,1.0,measured_or_calculated
19-551,edible_proportion,1.00,1.0,measured_or_calculated
19-552,edible_proportion,1.00,1.0,measured_or_calculated
18-009,edible_proportion,1.00,1.0,measured_or_calculated
18-009,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
18-009,glycerol_conversion_factor,0.930,0.93,measured_or_calculated
18-008,edible_proportion,1.00,1.0,measured_or_calculated
18-008,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
18-006,edible_proportion,1.00,1.0,measured_or_calculated
18-007,edible_proportion,0.99,0.99,measured_or_calculated
18-010,edible_proportion,1.00,1.0,measured_or_calculated
18-011,edible_proportion,1.00,1.0,measured_or_calculated
18-014,edible_proportion,1.00,1.0,measured_or_calculated
18-014,glycerol_conversion_factor,0.920,0.92,measured_or_calculated
18-015,edible_proportion,0.98,0.98,measured_or_calculated
18-012,edible_proportion,1.00,1.0,measured_or_calculated
18-013,edible_proportion,0.99,0.99,measured_or_calculated
18-005,edible_proportion,1.00,1.0,measured_or_calculated
18-005,glycerol_conversion_factor,0.950,0.95,measured_or_calculated
18-003,edible_proportion,1.00,1.0,measured_or_calculated
18-003,glycerol_conversion_factor,0.950,0.95,measured_or_calculated
18-004,edible_proportion,1.00,1.0,measured_or_calculated
18-018,edible_proportion,1.00,1.0,measured_or_calculated
18-019,edible_proportion,1.00,1.0,measured_or_calculated
18-022,edible_proportion,1.00,1.0,measured_or_calculated
18-022,glycerol_conversion_factor,0.920,0.92,measured_or_calculated
18-023,edible_proportion,1.00,1.0,measured_or_calculated
18-020,edible_proportion,1.00,1.0,measured_or_calculated
18-021,edible_proportion,1.00,1.0,measured_or_calculated
18-016,edible_proportion,1.00,1.0,measured_or_calculated
18-017,edible_proportion,1.00,1.0,measured_or_calculated
18-026,edible_proportion,1.00,1.0,measured_or_calculated
18-027,edible_proportion,0.98,0.98,measured_or_calculated
18-027,glycerol_conversion_factor,0.930,0.93,measured_or_calculated
18-024,edible_proportion,1.00,1.0,measured_or_calculated
18-025,edible_proportion,1.00,1.0,measured_or_calculated
18-030,edible_proportion,1.00,1.0,measured_or_calculated
18-031,edible_proportion,1.00,1.0,measured_or_calculated
18-032,edible_proportion,0.83,0.83,measured_or_calculated
18-028,edible_proportion,1.00,1.0,measured_or_calculated
18-029,edible_proportion,1.00,1.0,measured_or_calculated
18-033,edible_proportion,1.00,1.0,measured_or_calculated
18-034,edible_proportion,1.00,1.0,measured_or_calculated
18-035,edible_proportion,0.84,0.84,measured_or_calculated
18-468,edible_proportion,1.00,1.0,measured_or_calculated
18-468,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
18-468,glycerol_conversion_factor,0.916,0.916,measured_or_calculated
18-002,edible_proportion,1.00,1.0,measured_or_calculated
18-042,edible_proportion,1.00,1.0,measured_or_calculated
18-507,edible_proportion,1.00,1.0,measured_or_calculated
18-507,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
18-507,glycerol_conversion_factor,0.916,0.916,measured_or_calculated
18-039,edible_proportion,1.00,1.0,measured_or_calculated
18-037,edible_proportion,1.00,1.0,measured_or_calculated
18-037,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
18-037,glycerol_conversion_factor,0.916,0.916,measured_or_calculated
18-469,edible_proportion,1.00,1.0,measured_or_calculated
18-469,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
18-469,glycerol_conversion_factor,0.916,0.916,measured_or_calculated
18-508,edible_proportion,1.00,1.0,measured_or_calculated
18-508,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
18-508,glycerol_conversion_factor,0.920,0.92,measured_or_calculated
19-607,edible_proportion,1.00,1.0,measured_or_calculated
18-470,edible_proportion,1.00,1.0,measured_or_calculated
18-470,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
18-470,glycerol_conversion_factor,0.916,0.916,measured_or_calculated
19-606,edible_proportion,1.00,1.0,measured_or_calculated
19-664,edible_proportion,1.00,1.0,measured_or_calculated
18-045,edible_proportion,1.00,1.0,measured_or_calculated
18-045,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
18-045,glycerol_conversion_factor,0.916,0.916,measured_or_calculated
18-046,edible_proportion,1.00,1.0,measured_or_calculated
18-472,edible_proportion,1.00,1.0,measured_or_calculated
18-472,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
18-472,glycerol_conversion_factor,0.916,0.916,measured_or_calculated
18-473,edible_proportion,1.00,1.0,measured_or_calculated
18-473,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
18-473,glycerol_conversion_factor,0.916,0.916,measured_or_calculated
18-051,edible_proportion,1.00,1.0,measured_or_calculated
18-050,edible_proportion,1.00,1.0,measured_or_calculated
18-050,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
18-050,glycerol_conversion_factor,0.916,0.916,measured_or_calculated
18-474,edible_proportion,1.00,1.0,measured_or_calculated
18-474,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
18-474,glycerol_conversion_factor,0.916,0.916,measured_or_calculated
18-043,edible_proportion,1.00,1.0,measured_or_calculated
18-471,edible_proportion,1.00,1.0,measured_or_calculated
18-471,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
18-471,glycerol_conversion_factor,0.935,0.935,measured_or_calculated
18-052,edible_proportion,1.00,1.0,measured_or_calculated
18-053,edible_proportion,1.00,1.0,measured_or_calculated
18-056,edible_proportion,1.00,1.0,measured_or_calculated
18-057,edible_proportion,1.00,1.0,measured_or_calculated
18-057,glycerol_conversion_factor,0.930,0.93,measured_or_calculated
18-054,edible_proportion,1.00,1.0,measured_or_calculated
18-055,edible_proportion,0.99,0.99,measured_or_calculated
18-060,edible_proportion,1.00,1.0,measured_or_calculated
18-060,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
18-060,glycerol_conversion_factor,0.916,0.916,measured_or_calculated
18-061,edible_proportion,1.00,1.0,measured_or_calculated
18-058,edible_proportion,1.00,1.0,measured_or_calculated
18-059,edible_proportion,1.00,1.0,measured_or_calculated
18-062,edible_proportion,1.00,1.0,measured_or_calculated
18-063,edible_proportion,1.00,1.0,measured_or_calculated
18-066,edible_proportion,1.00,1.0,measured_or_calculated
18-067,edible_proportion,0.99,0.99,measured_or_calculated
18-074,edible_proportion,1.00,1.0,measured_or_calculated
18-075,edible_proportion,1.00,1.0,measured_or_calculated
18-070,edible_proportion,1.00,1.0,measured_or_calculated
18-070,glycerol_conversion_factor,0.920,0.92,measured_or_calculated
18-071,edible_proportion,0.99,0.99,measured_or_calculated
18-068,edible_proportion,1.00,1.0,measured_or_calculated
18-069,edible_proportion,1.00,1.0,measured_or_calculated
18-072,edible_proportion,1.00,1.0,measured_or_calculated
18-073,edible_proportion,0.99,0.99,measured_or_calculated
18-064,edible_proportion,1.00,1.0,measured_or_calculated
18-065,edible_proportion,1.00,1.0,measured_or_calculated
18-082,edible_proportion,1.00,1.0,measured_or_calculated
18-083,edible_proportion,0.99,0.99,measured_or_calculated
18-078,edible_proportion,1.00,1.0,measured_or_calculated
18-079,edible_proportion,1.00,1.0,measured_or_calculated
18-076,edible_proportion,1.00,1.0,measured_or_calculated
18-076,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
18-076,glycerol_conversion_factor,0.916,0.916,measured_or_calculated
18-077,edible_proportion,1.00,1.0,measured_or_calculated
18-080,edible_proportion,1.00,1.0,measured_or_calculated
18-080,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
18-080,glycerol_conversion_factor,0.916,0.916,measured_or_calculated
18-081,edible_proportion,1.00,1.0,measured_or_calculated
18-081,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
18-081,glycerol_conversion_factor,0.930,0.93,measured_or_calculated
19-530,edible_proportion,1.00,1.0,measured_or_calculated
18-086,edible_proportion,1.00,1.0,measured_or_calculated
18-087,edible_proportion,1.00,1.0,measured_or_calculated
18-084,edible_proportion,1.00,1.0,measured_or_calculated
18-085,edible_proportion,1.00,1.0,measured_or_calculated
18-088,edible_proportion,1.00,1.0,measured_or_calculated
18-088,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
18-088,glycerol_conversion_factor,0.916,0.916,measured_or_calculated
18-089,edible_proportion,1.00,1.0,measured_or_calculated
18-089,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
18-089,glycerol_conversion_factor,0.930,0.93,measured_or_calculated
18-090,edible_proportion,1.00,1.0,measured_or_calculated
18-091,edible_proportion,1.00,1.0,measured_or_calculated
17-506,edible_proportion,1.00,1.0,measured_or_calculated
17-506,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
17-506,glycerol_conversion_factor,0.956,0.956,measured_or_calculated
17-208,edible_proportion,1.00,1.0,measured_or_calculated
17-208,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
17-748,edible_proportion,1.00,1.0,measured_or_calculated
17-748,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
13-633,edible_proportion,1,1.0,measured_or_calculated
13-633,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
13-633,glycerol_conversion_factor,0.8,0.8,measured_or_calculated
13-166,edible_proportion,0.65,0.65,measured_or_calculated
13-166,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
13-164,edible_proportion,0.80,0.8,measured_or_calculated
13-164,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
16-003,edible_proportion,N,,present_amount_unknown
13-807,edible_proportion,0.99,0.99,measured_or_calculated
14-806,edible_proportion,1.00,1.0,measured_or_calculated
