food_id,food_code,duplicate_code_sequence,source_row_index,food_name,description,group_code,previous_code,main_data_references,footnote,water_g_per_100g,energy_kcal_per_100g,energy_kj_per_100g,protein_g_per_100g,fat_g_per_100g,carbs_g_per_100g,starch_g_per_100g,sugars_g_per_100g,glucose_g_per_100g,fructose_g_per_100g,sucrose_g_per_100g,lactose_g_per_100g,alcohol_g_per_100g,fibre_nsp_g_per_100g,fibre_aoac_g_per_100g,fibre_g_per_100g,saturated_fat_g_per_100g,monounsaturated_fat_g_per_100g,polyunsaturated_fat_g_per_100g,trans_fat_g_per_100g,cholesterol_mg_per_100g,sodium_mg_per_100g,salt_g_per_100g,potassium_mg_per_100g,calcium_mg_per_100g,magnesium_mg_per_100g,phosphorus_mg_per_100g,iron_mg_per_100g,copper_mg_per_100g,zinc_mg_per_100g,selenium_ug_per_100g,iodine_ug_per_100g,vitamin_a_retinol_ug_per_100g,vitamin_d_ug_per_100g,vitamin_e_mg_per_100g,vitamin_k1_ug_per_100g,thiamin_mg_per_100g,riboflavin_mg_per_100g,niacin_mg_per_100g,vitamin_b6_mg_per_100g,vitamin_b12_ug_per_100g,folate_ug_per_100g,vitamin_c_mg_per_100g
13-149,13-149,1,11,"Amaranth leaves, raw",Literature sources,DG,,"Wu Leung et al. (1972) Food composition table for use in East Asia, Food and Agriculature Organization and US Department of Health",,88.9,18.0,75.0,3.5,0.3,0.3,0.1,0.2,0.0,0.2,0.0,0.0,,,,,0.1,0.1,0.1,,0.0,13.0,0.0325,620.0,270.0,130.0,65.0,3.0,0.13,0.6,,,0.0,0.0,,,0.07,0.22,0.7,,0.0,85.0,42.0
14-001,14-001,1,12,Amla,Literature sources,FA,,"Gopalan et al. (1980) Nutritive value of Indian foods, National Insitute of Nutrition, Indian Council of Medical Research",,81.8,58.0,243.0,0.5,0.1,13.7,,,,,,0.0,,,,,0.0,0.0,0.0,,0.0,5.0,0.0125,230.0,50.0,,20.0,1.2,0.18,,,,0.0,0.0,,,0.03,0.01,0.2,,0.0,,
16-448,16-448,1,13,"Anchovies, canned in oil, drained","10 samples, 4 brands",JC,16-323,"Data from Fish and Fish Products Supplement, 1993 (16-168) except fatty acids and phytosterols from RHM, fatty acids in foods, 1993",,46.4,191.0,798.0,25.2,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,5.3,1.8,0.0,63.0,5870.0,14.675,230.0,300.0,56.0,300.0,4.1,0.17,3.0,,,57.0,,,,0.0,0.1,3.8,,11.0,18.0,0.0
13-802,13-802,1,14,Anise seeds,Literature sources,H,,"Marsh et al. (1977) Composition of foods: spices and herbs, raw, processed and prepared, Agriculture Handbook No. 8-2",,9.5,,,17.6,15.9,,,,,,,0.0,,,,,2.3,9.8,3.1,,0.0,16.0,0.04,1440.0,650.0,170.0,440.0,37.0,0.91,5.3,,,0.0,0.0,,,,,,,0.0,0.0,0.0
14-272,14-272,1,15,"Apple juice concentrate, unsweetened, commerical","10 samples, 68.6 Brix; imported commercial concentrate",PE,,"Fruit and Nuts Supplement, 1992",,31.4,223.0,952.0,0.5,0.6,57.6,0.0,57.6,13.2,33.9,10.4,0.0,0.0,0.0,,0.0,0.1,0.0,0.3,,0.0,11.0,0.0275,640.0,35.0,29.0,38.0,1.6,0.0,0.1,0.0,0.0,0.0,0.0,0.02,,0.01,0.02,0.7,0.07,0.0,1.0,49.0
14-331,14-331,1,16,"Apple juice, clear, ambient and chilled","10 samples, 9 brands, from concentrate",FC,14-271,"DH, Nutrient analysis of fruit and vegetables, 2013",,86.6,37.0,157.0,0.1,0.0,9.7,0.0,9.7,2.4,5.5,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0075,89.0,6.0,4.0,6.0,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,,0.05,0.02,0.2,0.05,0.0,1.0,26.0
17-851,17-851,1,17,"Apple sauce, homemade",Recipe,WC,17-608,Updated 2014,,77.5,79.0,336.0,0.3,0.2,20.2,0.0,20.2,1.6,4.8,13.7,0.0,0.0,1.3,1.4,1.4,0.05,0.02,0.11,0.0,0.0,2.0,0.005,75.0,5.0,3.0,6.0,0.11,0.03,0.0,0.0,3.0,0.0,0.0,0.1,,0.03,0.01,0.1,0.04,0.0,1.0,9.0
14-344,14-344,1,18,"Apples, cooking, baked with sugar, flesh only",Calculated from 672g apple (14-342) and 40g sugar (17-061),FA,14-007,Updated 2014,,79.9,69.0,292.0,0.2,0.4,17.1,0.0,17.1,2.4,6.6,8.1,0.0,0.0,1.4,1.9,1.9,0.07,0.04,0.14,0.0,0.0,1.0,0.0025,100.0,5.0,3.0,8.0,0.17,0.04,0.0,0.0,4.0,0.0,0.0,0.12,,0.02,0.04,0.2,0.06,0.0,0.0,14.0
14-345,14-345,1,19,"Apples, cooking, baked with sugar, flesh only, weighed with skin",Calculated from 14-344 using edible portion of 0.84,FA,14-008,Updated 2014,,67.1,57.0,243.0,0.2,0.3,14.3,0.0,14.3,2.0,5.5,6.8,0.0,0.0,1.2,1.6,1.6,0.06,0.03,0.12,0.0,0.0,1.0,0.0025,84.0,4.0,3.0,6.0,0.14,0.04,0.0,0.0,3.0,0.0,0.0,0.1,,0.02,0.03,0.2,0.05,0.0,0.0,12.0
14-342,14-342,1,20,"Apples, cooking, baked without sugar, flesh only",Calculated from 14-320,FA,14-010,"DH, Nutrient analysis of fruit and vegetables, 2013",,85.0,47.0,201.0,0.2,0.4,11.4,0.0,11.4,2.5,7.0,1.9,0.0,,1.5,2.0,2.0,0.07,0.04,0.15,0.0,0.0,1.0,0.0025,103.0,3.0,3.0,8.0,0.12,0.04,0.0,0.0,4.0,0.0,0.0,0.13,,0.02,0.04,0.2,0.06,0.0,0.0,15.0
14-343,14-343,1,21,"Apples, cooking, baked without sugar, flesh only, weighed with skin",Calculated from 14-342 using edible portion of 0.84,FA,14-011,"DH, Nutrient analysis of fruit and vegetables, 2013",,71.4,40.0,168.0,0.2,0.3,9.6,0.0,9.6,2.1,5.9,1.6,0.0,,1.3,1.7,1.7,0.06,0.03,0.13,0.0,0.0,1.0,0.0025,87.0,3.0,3.0,7.0,0.1,0.03,0.0,0.0,3.0,0.0,0.0,0.13,,0.02,0.03,0.2,0.05,0.0,0.0,13.0
14-362,14-362,1,22,"Apples, cooking, raw, flesh only, peeled","Bramley apples and unspecified. Analytical data, 1985-86; and 2011-12",F,14-002,"LGC, Nutritional composition of fresh fruit, 1985-1986; and Fruit and Nuts Supplement, 1992",,87.7,37.0,159.0,0.3,0.3,8.9,0.0,8.9,2.0,5.9,1.0,0.0,0.0,1.6,1.7,1.7,0.06,0.03,0.13,0.0,0.0,2.0,0.005,88.0,4.0,3.0,7.0,0.1,0.02,0.0,0.0,4.0,0.0,0.0,0.12,,0.04,0.02,0.1,0.06,0.0,5.0,14.0
14-363,14-363,1,23,"Apples, cooking, raw, flesh only, weighed with skin and core",Bramley variety; calculated from 14-362,F,14-003,"LGC, Nutritional composition of fresh fruit, 1985-1986; and Fruit and Nuts Supplement, 1992",,64.0,27.0,116.0,0.2,0.2,6.5,0.0,6.4,1.5,4.3,0.7,0.0,0.0,1.2,1.2,1.2,0.04,0.02,0.09,0.0,0.0,1.0,0.0025,64.0,3.0,2.0,5.0,0.07,0.01,0.0,0.0,3.0,0.0,0.0,0.09,,0.01,0.07,0.1,0.04,0.0,0.0,10.0
14-332,14-332,1,24,"Apples, cooking, stewed with sugar, flesh only",Calculated from stewed without sugar,FA,14-004,"DH, Nutrient analysis of fruit and vegetables, 2013",,77.5,81.0,346.0,0.2,0.3,20.8,0.0,20.8,3.1,6.7,11.0,0.0,0.0,1.0,1.4,1.4,0.06,0.03,0.13,0.0,0.0,1.0,0.0025,81.0,3.0,3.0,6.0,0.1,0.03,0.0,0.0,4.0,0.0,0.0,0.1,,0.02,0.03,0.2,0.05,0.0,0.0,11.0
14-320,14-320,1,25,"Apples, cooking, stewed without sugar, flesh only","22 samples, autumn and winter, UK grown pre-packed and loose, including Bramley and unspecified varieties",FA,,"DH, Nutrient analysis of fruit and vegetables, 2013",,87.3,40.0,169.0,0.2,0.3,9.7,0.0,9.7,2.1,5.9,1.7,0.0,0.0,1.3,1.7,1.7,0.06,0.03,0.13,0.0,0.0,1.0,0.0025,87.0,3.0,3.0,7.0,0.1,0.03,0.0,0.0,4.0,0.0,0.0,0.11,,0.02,0.03,0.2,0.05,0.0,0.0,12.0
14-016,14-016,1,26,"Apples, eating, dried","6 samples, 3 brands and calculation from 14-014",FA,,"LGC, Fruit and vegetables, 1989-1990",,21.6,238.0,1014.0,2.0,0.5,60.1,0.0,60.1,8.6,31.7,19.9,0.0,,9.7,,9.7,0.1,0.0,0.3,,0.0,16.0,0.04,540.0,16.0,16.0,43.0,0.5,0.11,0.5,0.0,0.0,0.0,0.0,1.45,,,,,,0.0,0.0,0.0
14-319,14-319,1,27,"Apples, eating, raw, flesh and skin","22 samples, autumn and winter, UK grown and imported, pre-packed and loose, including Gala, Braeburn, Golden Delicious, Pink Lady, Cox and Granny Smith",FA,14-012,"DH, Nutrient analysis of fruit and vegetables, 2013",,86.2,51.0,215.0,0.6,0.5,11.6,0.0,11.6,2.1,6.7,2.8,0.0,0.0,1.3,1.2,1.2,0.12,0.04,0.2,0.0,0.0,1.0,0.0025,100.0,5.0,4.0,8.0,0.09,0.03,0.0,0.0,4.0,0.0,0.0,0.09,5.6,0.04,0.04,0.1,0.07,0.0,0.0,6.0
14-346,14-346,1,28,"Apples, eating, raw, flesh and skin, weighed with core",Calculated from 14-319 using edible portion of 0.87,FA,14-013,"DH, Nutrient analysis of fruit and vegetables, 2013. Vitamin K1 calculated from Bolton-Smith et al, Br.J. Nutr 83, 2000",,75.0,43.0,183.0,0.5,0.4,10.0,0.0,10.0,1.8,5.8,2.4,0.0,,1.1,1.0,1.0,0.1,0.03,0.17,0.0,0.0,1.0,0.0025,87.0,5.0,4.0,7.0,0.08,0.03,0.0,0.0,4.0,0.0,0.0,0.08,4.87,0.03,0.03,0.1,0.06,0.0,0.0,5.0
14-031,14-031,1,29,"Apricots, dried",No stones,FA,,"LGC, Nutritional composition of fruit products, 1985-1986",,14.7,188.0,802.0,4.8,0.7,43.4,0.0,43.4,20.8,10.0,12.6,0.0,,7.7,,7.7,,,,,0.0,56.0,0.14,1880.0,92.0,65.0,120.0,4.1,0.4,0.7,7.0,,0.0,0.0,,,0.0,0.2,3.0,0.17,0.0,14.0,0.0
14-032,14-032,1,30,"Apricots, dried, stewed with sugar","Calculated from 450g fruit, 770g water, 54g sugar",FA,,"Fruit and Nuts Supplement, 1992",,61.8,92.0,393.0,1.9,0.3,22.0,0.0,22.0,8.7,4.4,8.9,0.0,,3.0,,3.0,0.0,0.0,0.0,,0.0,21.0,0.0525,740.0,36.0,25.0,47.0,1.6,0.16,0.3,3.0,,0.0,0.0,,,0.0,0.06,0.9,0.05,0.0,1.0,0.0
14-033,14-033,1,31,"Apricots, dried, stewed without sugar","Calculated from 450g fruit, 770g water",FA,,"Fruit and Nuts Supplement, 1992",,65.0,77.0,328.0,2.0,0.3,17.8,0.0,17.8,8.8,4.4,4.7,0.0,,3.2,,3.2,0.0,0.0,0.0,,0.0,22.0,0.055,770.0,37.0,26.0,49.0,1.7,0.16,0.3,3.0,,0.0,0.0,,,0.0,0.06,0.9,0.06,0.0,1.0,0.0
14-025,14-025,1,32,"Apricots, raw, flesh and skin",18 samples,FA,50-860,"Reviewed 2013. LGC, Fruit and vegetables, 1989-1990",,87.2,31.0,134.0,0.9,0.1,7.2,0.0,7.2,1.6,0.9,4.6,0.0,0.0,1.7,,1.7,0.0,0.0,0.0,0.0,0.0,2.0,0.005,270.0,15.0,11.0,20.0,0.5,0.06,0.1,1.0,,0.0,0.0,,,0.04,0.05,0.5,0.08,0.0,5.0,6.0
14-026,14-026,1,33,"Apricots, raw, flesh and skin, weighed with stones",Calculated from 14-025,FA,50-861,"LGC, Fruit and vegetables, 1989-1990",,80.2,29.0,123.0,0.8,0.1,6.6,0.0,6.6,1.5,0.8,4.2,0.0,0.0,1.6,,1.6,0.0,0.0,0.0,0.0,0.0,2.0,0.005,250.0,14.0,10.0,18.0,0.5,0.05,0.1,1.0,,0.0,0.0,,,0.04,0.05,0.5,0.07,0.0,5.0,5.0
14-392,14-392,1,34,"Apricots, ready-to-eat, semi-dried","10 samples, 8 products, including soft, ready-to-eat and partially rehydrated",FA,14-036,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,39.6,161.0,686.0,2.2,0.5,39.4,0.0,39.4,25.1,10.4,3.9,0.0,0.0,6.3,5.3,5.3,0.13,0.02,0.25,0.0,0.0,9.0,0.0225,1039.0,71.0,34.0,67.0,1.35,0.3,0.25,0.0,18.0,0.0,0.0,3.68,,0.02,0.01,2.5,0.09,0.0,13.0,1.0
14-027,14-027,1,35,"Apricots, stewed with sugar","1000g fruit, 100g water, 120g sugar; stones removed",FA,,"Fruit and Nuts Supplement, 1992",,76.9,72.0,308.0,0.7,0.1,18.3,0.0,18.3,2.2,2.1,14.0,0.0,,1.6,,1.6,0.0,0.0,0.0,,0.0,1.0,0.0025,190.0,12.0,7.0,7.0,0.8,0.05,0.1,1.0,,0.0,0.0,,,0.02,0.03,0.5,0.05,0.0,0.0,4.0
14-028,14-028,1,36,"Apricots, stewed with sugar, weighed with stones",Calculated from 14-027,FA,,"Fruit and Nuts Supplement, 1992",,71.7,67.0,288.0,0.6,0.1,17.1,0.0,17.1,2.1,2.0,13.1,0.0,,1.5,,1.5,0.0,0.0,0.0,,0.0,1.0,0.0025,180.0,11.0,7.0,7.0,0.7,0.05,0.1,1.0,,0.0,0.0,,,0.02,0.03,0.5,0.05,0.0,0.0,4.0
14-029,14-029,1,37,"Apricots, stewed without sugar","500g fruit, 75g water; stones removed",FA,,"Fruit and Nuts Supplement, 1992",,88.3,27.0,115.0,0.7,0.1,6.2,0.0,6.2,1.6,1.0,3.5,0.0,,1.5,,1.5,0.0,0.0,0.0,,0.0,1.0,0.0025,200.0,13.0,7.0,7.0,0.8,0.05,0.1,1.0,,0.0,0.0,,,0.03,0.03,0.3,0.05,0.0,1.0,4.0
14-030,14-030,1,38,"Apricots, stewed without sugar, weighed with stones",Calculated from 14-029,FA,,"Fruit and Nuts Supplement, 1992",,82.1,25.0,108.0,0.7,0.1,5.8,0.0,5.8,1.5,0.9,3.3,0.0,,1.4,,1.4,0.0,0.0,0.0,,0.0,1.0,0.0025,190.0,12.0,7.0,7.0,0.7,0.05,0.1,1.0,,0.0,0.0,,,0.03,0.03,0.3,0.05,0.0,1.0,4.0
13-152,13-152,1,39,"Arrowhead, boiled in unsalted water",Calculated from raw,DG,,"Haytowitz and Matthews (1984) Composition of foods: vegetables and vegetable products, raw, processed and prepared, Agricultural Handbook No. 8-11, and Wu Leung et al. (1972) Food composition table for use in East Asia",,75.5,91.0,385.0,4.2,0.3,17.8,,,,,,0.0,,,,,,,,,0.0,18.0,0.045,610.0,11.0,43.0,140.0,2.2,,,,,0.0,0.0,0.0,,0.13,0.03,1.2,,0.0,,1.0
13-151,13-151,1,40,"Arrowhead, raw",Literature sources,DG,,"Haytowitz and Matthews (1984) Composition of foods: vegetables and vegetable products, raw, processed and prepared, Agricultural Handbook No. 8-11, and Wu Leung et al. (1972) Food composition table for use in East Asia",,70.6,107.0,448.0,5.0,0.3,21.5,,,,,,0.0,,,,,,,,,0.0,22.0,0.055,730.0,13.0,51.0,170.0,2.6,,,,,0.0,0.0,0.0,,0.16,0.04,1.4,,0.0,,5.0
11-001,11-001,1,41,Arrowroot,2 samples from different shops,AA,,"MW3, 1960. Reviewed 2014",,12.2,355.0,1515.0,0.4,0.1,94.0,94.0,0.0,0.0,0.0,0.0,0.0,,0.1,,0.1,,,,,,5.0,0.0125,18.0,7.0,8.0,27.0,2.0,0.22,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13-155,13-155,1,42,"Artichoke, globe, base of leaves and heart, boiled in unsalted water",Base of leaves and heart; boiled 35 minutes,DG,,"IFR, The nutritional composition of retail vegetables in the UK, 1984-1987",,84.4,18.0,78.0,2.9,0.2,2.7,0.0,1.3,0.8,0.4,0.1,0.0,,,,,0.1,0.0,0.1,,0.0,15.0,0.0375,330.0,44.0,27.0,40.0,0.5,0.09,0.5,0.0,,0.0,0.0,0.19,,0.0,0.02,1.0,0.02,0.0,50.0,1.0
13-154,13-154,1,43,"Artichoke, globe, boiled, weighed as served",Calculated from boiled in unsalted water,DG,,"IFR, The nutritional composition of retail vegetables in the UK, 1984-1987",,36.3,8.0,34.0,1.2,0.1,1.2,0.0,0.6,0.3,0.2,0.0,0.0,,,,,0.0,0.0,0.0,,0.0,6.0,0.015,140.0,19.0,12.0,17.0,0.2,0.04,0.2,0.0,,0.0,0.0,0.08,,0.0,0.01,0.4,0.01,0.0,21.0,0.0
13-153,13-153,1,44,"Artichoke, globe, raw",Literature sources,DG,,"Vegetables, Herbs and Spices Supplement, 1991",,85.2,18.0,77.0,2.8,0.2,2.7,0.0,1.3,0.8,0.4,0.1,0.0,,,,,0.1,0.0,0.1,,0.0,27.0,0.0675,360.0,41.0,22.0,38.0,0.7,0.09,0.5,0.0,,0.0,0.0,0.19,,0.06,0.05,1.3,0.03,0.0,68.0,2.0
13-156,13-156,1,45,"Artichoke, Jerusalem, boiled in unsalted water, flesh only",Boiled 20 minutes,DG,,"MW4, 1978",,80.2,41.0,207.0,1.6,0.1,10.6,0.0,1.6,0.1,0.2,1.3,0.0,,3.5,,3.5,0.0,0.0,0.0,,0.0,3.0,0.0075,420.0,30.0,11.0,33.0,0.4,0.12,0.1,,,0.0,0.0,0.2,,0.1,0.0,0.9,,0.0,,2.0
13-803,13-803,1,46,Asafoetida,Resin from root of Ferula plant. Literature sources,H,,"Gopalan et al. (1980) Nutritive value of Indian foods, National Institute of Nutrition",,16.0,,,4.0,1.1,,,,,,,0.0,,,,,,,,,0.0,,,,690.0,,50.0,22.2,,,,,0.0,0.0,,,0.0,0.04,0.3,,0.0,,0.0
13-639,13-639,1,47,"Asparagus, grilled","Calculated from steamed. Water and fat analysed, 2017. 7 samples, fresh, imported, including tips and thicker stems. Tough base of stems removed, grilled for 4-6 minutes",DG,,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,90.9,25.1,106.3,3.5,0.4,2.0,0.0,2.0,0.5,1.1,0.4,0.0,0.0,1.7,1.6,1.6,0.06,0.12,0.18,0.0,0.0,3.0,0.0075,339.0,27.0,15.0,78.0,0.6,0.14,0.61,11.0,0.0,0.0,0.0,1.74,,0.11,0.17,1.8,0.18,0.0,122.0,10.0
13-157,13-157,1,48,"Asparagus, raw",Tough base of stems removed,DG,50-737,"Reviewed 2013. IFR, The nutritional composition of retail vegetables in the UK, 1984-1987",,91.4,25.0,103.0,2.9,0.6,2.0,0.1,1.9,0.7,1.1,0.1,0.0,0.0,1.7,,1.7,0.1,0.1,0.2,0.0,0.0,1.0,0.0025,260.0,27.0,13.0,72.0,0.7,0.08,0.7,1.0,0.0,0.0,0.0,1.16,,0.16,0.06,1.0,0.09,0.0,175.0,12.0
13-640,13-640,1,49,"Asparagus, roasted in rapeseed oil","Calculated from steamed. Water and fat analysed, 2017. 7 samples, fresh, imported, including tips and thicker stems, tough base of stems removed. Roasted in 0.5-1 tbsp oil for 10 minutes",DG,,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,89.8,35.0,147.0,3.5,1.5,2.0,0.0,2.0,0.5,1.1,0.4,0.0,0.0,1.7,1.6,1.6,0.12,0.75,0.47,0.0,0.0,4.0,0.01,342.0,28.0,15.0,79.0,0.6,0.14,0.6,11.0,0.0,0.0,0.0,1.69,,0.11,0.17,1.8,0.18,0.0,123.0,10.0
13-638,13-638,1,50,"Asparagus, steamed","11 samples, fresh, UK and imported, including tips and thicker stems. Tough base of stems removed, steamed for 3-18 minutes",DG,,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,92.4,21.0,90.0,2.9,0.4,1.6,0.0,1.6,0.4,0.9,0.3,0.0,0.0,1.4,1.3,1.3,0.05,0.1,0.15,0.0,0.0,3.0,0.0075,283.0,23.0,12.0,66.0,0.5,0.12,0.5,9.0,0.0,0.0,0.0,1.45,,0.09,0.14,1.5,0.15,0.0,102.0,8.0
13-651,13-651,1,51,"Aubergine, flesh and skin, boiled in unsalted water","11 samples, UK and imported. Cut into chunks and boiled for 10-30 minutes",DG,,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,95.2,14.0,59.0,0.7,0.5,1.8,0.2,1.6,0.7,0.6,0.3,0.0,0.0,2.0,1.8,1.8,0.13,0.0,0.25,0.0,0.0,1.0,0.0025,136.0,8.0,9.0,20.0,0.17,0.03,0.08,0.0,1.0,0.0,0.0,0.02,,0.01,0.01,0.1,0.03,0.0,7.0,1.0
13-669,13-669,1,52,"Aubergine, flesh and skin, roasted in rapeseed oil","11 samples, UK and imported, roasted in a small amount of rapeseed oil for 20-30 minutes",DG,,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,83.9,62.0,260.0,2.1,3.8,5.2,0.6,4.6,2.0,1.7,0.9,0.0,0.0,5.7,5.1,5.1,0.35,1.96,1.22,0.0,0.0,2.0,0.005,389.0,24.0,27.0,57.0,0.49,0.09,0.2,0.0,3.0,0.0,0.0,0.75,,0.03,0.03,0.3,0.09,0.0,20.0,3.0
